0357T,cryopreservation oocyte(s)
75565,Card MRI veloc flow mapping
75571,Ct hrt w/o dye w/ca test
75572,Ct hrt w/3d image
75573,Ct hrt w/3d image congen
75574,Ct angio hrt w/3d image
75635,Ct angio abdominal arteries
76000,Fluoroscope examination
76010,X-ray nose to rectum
76100,X-ray exam of body section
76101,Complex body section x-ray
76102,Complex body section x-rays
76120,Cine/video x-rays
76125,Cine/video x-rays add-on
76376,3d render w/o postprocess
76377,3d rendering w/postprocess
76380,CAT scan follow-up study
76499,Radiographic procedure
76506,Echo exam of head
76510,Ophth us b & quant a
76511,Ophth us quant a only
76512,Ophth us b w/non-quant a
76513,Echo exam of eye water bath
76514,Echo exam of eye thickness
76516,Echo exam of eye
76519,Echo exam of eye
76536,Us exam of head and neck
76604,Us exam chest
76641,Ultrasound breast complete
76642,Ultrasound breast limited
76700,Us exam abdom complete
76705,Echo exam of abdomen
76770,Us exam abdo back wall comp
76775,Us exam abdo back wall lim
76776,Us exam k transpl w/Doppler
76800,Us exam spinal canal
76801,Ob us < 14 wks single fetus
76802,Ob us < 14 wks addl fetus
76805,Ob us >/= 14 wks sngl fetus
76810,Ob us >/= 14 wks addl fetus
76811,Ob us detailed sngl fetus
76812,Ob us detailed addl fetus
76815,Ob us limited fetus(s)
76816,Ob us follow-up per fetus
76818,Fetal biophys profile w/nst
76819,Fetal biophys profil w/o nst
76820,Umbilical artery echo
76821,Middle cerebral artery echo
76825,Echo exam of fetal heart
76826,Echo exam of fetal heart
76827,Echo exam of fetal heart
76828,Echo exam of fetal heart
76856,Us exam pelvic complete
76857,Us exam pelvic limited
76870,Us exam scrotum
76881,Us xtr non-vasc complete
76882,Us xtr non-vasc lmtd
76885,Us exam infant hips dynamic
76886,Us exam infant hips static
76970,Ultrasound exam follow-up
76977,Us bone density measure
76999,Echo examination procedure
77051,Computer dx mammogram add-on
77052,Comp screen mammogram add-on
77055,Mammogram one breast
77056,Mammogram both breasts
77057,Mammogram screening
77058,Mri one breast
77059,Mri both breasts
77061,Breast tomosynthesis uni
77062,Breast tomosynthesis bi
77063,Breast tomosynthesis bi
77071,X-ray stress view
77072,X-rays for bone age
77073,X-rays bone length studies
77074,X-rays bone survey limited
77075,X-rays bone survey complete
77076,X-rays bone survey infant
77077,Joint survey single view
77078,Ct bone density axial
77080,Dxa bone density axial
77081,Dxa bone density/peripheral
77084,Magnetic image bone marrow
77085,Dxa bone density study
77086,Fracture assessment via dxa
78012,Thyroid uptake measurement 
78013,Thyroid imaging w/blood flow
78014,Thyroid imaging w/blood flow
78015,Thyroid met imaging
78016,Thyroid met imaging/studies
78018,Thyroid met imaging body
78020,Thyroid met uptake
78070,Parathyroid nuclear imaging
78071,Parathyrd planar w/wo subtrj
78072,Parathyrd planar w/spect&ct
78075,Adrenal nuclear imaging
78099,Endocrine nuclear procedure
78102,Bone marrow imaging ltd
78103,Bone marrow imaging mult
78104,Bone marrow imaging body
78135,Red cell survival kinetics
78140,Red cell sequestration
78185,Spleen imaging
78190,Platelet survival kinetics
78195,Lymph system imaging
78199,Blood/lymph nuclear exam
78201,Liver imaging
78202,Liver imaging with flow
78205,Liver imaging (3D)
78206,Liver image (3d) with flow
78215,Liver and spleen imaging
78216,Liver & spleen image/flow
78226,Hepatobiliary system imaging
78227,Hepatobil syst image w/drug
78230,Salivary gland imaging
78231,Serial salivary imaging
78232,Salivary gland function exam
78258,Esophageal motility study
78261,Gastric mucosa imaging
78262,Gastroesophageal reflux exam
78264,Gastric emptying study
78265,Gastric emptying imag study
78266,Gastric emptying imag study
78278,Acute GI blood loss imaging
78282,GI protein loss exam
78290,Meckels divert exam
78291,Leveen/shunt patency exam
78299,GI nuclear procedure
78300,Bone imaging limited area
78305,Bone imaging multiple areas
78306,Bone imaging whole body
78315,Bone imaging 3 phase
78320,Bone imaging (3D)
78399,Musculoskeletal nuclear exam
78428,Cardiac shunt imaging
78445,Vascular flow imaging
78451,Ht muscle image spect sing
78452,Ht muscle image spect mult
78453,Ht muscle image planar sing
78454,Ht musc image planar mult
78456,Acute venous thrombus image
78457,Venous thrombosis imaging
78458,Ven thrombosis images bilat
78459,Heart muscle imaging (PET)
78466,Heart infarct image
78468,Heart infarct image (ef)
78469,Heart infarct image (3D)
78472,Gated heart planar single
78473,Gated heart multiple
78481,Heart first pass single
78483,Heart first pass multiple
78491,Heart image (pet) single
78492,Heart image (pet) multiple
78494,Heart image spect
78496,Heart first pass add-on
78499,Cardiovascular nuclear exam
78579,Lung ventilation imaging
78580,Lung perfusion imaging
78582,Lung ventilat&perfus imaging
78597,Lung perfusion differential
78598,Lung perf&ventilat diferentl
78599,Respiratory nuclear exam
78600,Brain image < 4 views
78601,Brain image w/flow < 4 views
78605,Brain image 4+ views
78606,Brain image w/flow 4 + views
78607,Brain imaging (3D)
78608,Brain imaging (PET)
78610,Brain flow imaging only
78630,Cerebrospinal fluid scan
78635,CSF ventriculography
78645,CSF shunt evaluation
78647,Cerebrospinal fluid scan
78650,CSF leakage imaging
78660,Nuclear exam of tear flow
78699,Nervous system nuclear exam
78700,Kidney imaging morphol
78701,Kidney imaging with flow
78707,K flow/funct image w/o drug
78708,K flow/funct image w/drug
78709,K flow/funct image multiple
78710,Kidney imaging (3D)
78730,Urinary bladder retention
78740,Ureteral reflux study
78761,Testicular imaging w/flow
78799,Genitourinary nuclear exam
78800,Tumor imaging limited area
78801,Tumor imaging mult areas
78802,Tumor imaging whole body
78803,Tumor imaging (3D)
78804,Tumor imaging whole body
78805,Abscess imaging ltd area
78806,Abscess imaging whole body
78807,Nuclear localization/abscess
78811,PET image ltd area
78812,PET image skull-thigh
78813,PET image full body
78814,PET image w/ct lmtd
78815,PET image w/ct skull-thigh
78816,PET image w/ct full body
78999,Nuclear diagnostic exam
91110,Gi tract capsule endoscopy
91111,Esophageal capsule endoscopy
92132,Cpmtr ophth dx img ant segmt
92133,Cmptr ophth img optic nerve
92134,Cptr ophth dx img post segmt
92227,Remote dx retinal imaging
92228,Remote retinal imaging mgmt
93303,Echo transthoracic
93304,Echo transthoracic
93306,TTE w/Doppler complete
93307,TTE w/o Doppler complete
93308,TTE f-up or lmtd
93320,Doppler echo exam heart [if used in conjunction with 93303-93304]
93321,"Doppler echo exam heart [if used in conjunction with 93303, 93304, 93308]"
93325,"Doppler color flow add-on [if used in conjunction with 76825, 76826, 76827,76828, 93303, 93304, 93308]"
93875,Extracranial study
93880,Extracranial study
93882,Extracranial study
93886,Intracranial study
93888,Intracranial study
93890,Tcd vasoreactivity study
93892,Tcd emboli detect w/o inj
93922,Upr/l xtremity art 2 levels
93923,Upr/lxtr art stdy 3+ lvls
93924,Lwr xtr vasc stdy bilat 
93925,Lower extremity study
93926,Lower extremity study
93930,Upper extremity study
93931,Upper extremity study
93965,Extremity study
93970,Extremity study
93971,Extremity study
93975,Vascular study
93976,Vascular study
93978,Vascular study
93979,Vascular study
93980,Penile vascular study
93981,Penile vascular study
93990,Doppler flow testing
93998,Noninvas vasc dx study proc
97610,Low frequency non-thermal US
A4641,Radiopharm dx agent noc
A4642,In111 satumomab
A9500,Tc99m sestamibi
A9501,Technetium TC-99m teboroxime
A9502,Tc99m tetrofosmin
A9503,Tc99m medronate
A9504,Tc99m apcitide
A9505,TL201 thallium
A9507,In111 capromab
A9508,"I131 iodobenguate, dx"
A9509,Iodine I-123 sod iodide mil
A9510,Tc99m disofenin
A9512,Tc99m pertechnetate
A9516,Iodine I-123 sod iodide mic
A9521,Tc99m exametazime
A9524,"I131 serum albumin, dx"
A9526,Nitrogen N-13 ammonia
A9528,"Iodine I-131 iodide cap, dx"
A9529,"I131 iodide sol, dx "
A9531,I131 max 100uCi
A9532,"I125 serum albumin, dx"
A9536,TC99m depreotide
A9537,Tc99m mebrofenin
A9538,Tc99m pyrophosphate 
A9539    ,Tc99m pentetate
A9540,Tc99m MAA
A9541     ,Tc99m sulfur colloid
A9542    ,"In111 ibritumomab, dx"
A9544    ,"I131 tositumomab, dx"
A9546    ,CO57/58
A9547   ,In111 oxyquinoline
A9548    ,In111 pentetate
A9550   ,Tc99m gluceptate   
A9551,Tc99m succimer
A9552,F18 fdg
A9553,Cr51 chromate
A9554,"I125 iothalamate, dx"
A9555,Rb82 rubidium
A9556,Ga67 gallium
A9557,Tc99m bicisate
A9558,Xe133 xenon 10mci
A9559,Co57 cyano
A9560,Tc99m labeled rbc
A9561,Tc99m oxidronate
A9562,Tc99m mertiatide
A9566,Tc99m fanolesomab
A9567,Technetium TC-99m aerosol
A9568,Technetium tc99m arcitumomab
A9569,Technetium TC-99m auto WBC
A9570,Indium In-111 auto WBC
A9571,Indium In-111 auto platelet
A9572,Indium In-111 pentetreotide
A9576,Inj prohance multipack
A9577,Inj multihance
A9578,Inj multihance multipack
A9579,"Gad-base MR contrast NOS,1ml  "
A9580,Sodium fluoride F-18
A9584,Iodine I-123 ioflupane
A9586,Florbetapir F18
A9700,Echocardiography contrast
A9520,Tc99 Tilmanocept diag 0.5mci
C9457 ,Lumason contrast agent
C9458 ,Florbetaben F18
C9459,Flutemetamol F18
C9734,"U/S trtmt, not leiomyomata"
G0130,Single energy x-ray study
G0202,Screeningmammographydigital
G0204,Diagnosticmammographydigital
G0206,Diagnosticmammographydigital
G0279,"Tomosynthesis, mammo screen"
G0288,"Recon, CTA for surg plan"
G0297,LDCT for Lung CA screen
G0389,Ultrasound exam AAA screen
Q0092,Set up port xray equipment 
Q9951,"LOCM>=400 mg/ml iodine,1ml"
Q9953,"Inj Fe-based MR contrast,1ml"
Q9954,"Oral MR contrast, 100ml"
Q9955,"Inj perflexane lip micros,ml"
Q9956,"Inj octafluoropropane mic,ml"
Q9957,"Inj perflutren lip micros,ml"
Q9958,"HOCM <=149 mg/ml iodine, 1ml"
Q9959,"HOCM 150-199mg/ml iodine,1ml"
Q9960,"HOCM 200-249mg/ml iodine,1ml"
Q9961,"HOCM 250-299mg/ml iodine,1ml"
Q9962,"HOCM 300-349mg/ml iodine,1ml"
Q9963,"HOCM 350-399mg/ml iodine,1ml"
Q9964,"HOCM>= 400mg/ml iodine, 1ml"
Q9965,"LOCM 100-199mg/ml iodine,1ml"
Q9966,"LOCM 200-299mg/ml iodine,1ml"
Q9967,"LOCM 300-399mg/ml iodine,1ml"
R0070,Transport portable x-ray
R0075,Transport port x-ray multipl
0190T,Place intraoc radiation src
0394T ,Hdr elctrnc skn surf brchytx
0395T,Hdr elctr ntrst/ntrcv brchtx
19296,Place po breast cath for rad
19297,Place breast cath for rad
19298,Place breast rad tube/caths
20555,Place ndl musc/tis for rt
31643,Diag bronchoscope/catheter
32553,Ins mark thor for rt perq
32701,Thorax stereo rad targetw/tx
41019,Place needles h&n for rt
49327,Lap ins device for rt
49411,Ins mark abd/pel for rt perq
49412,Ins device for rt guide open
55875,Transperi needle place pros
55876,Place rt device/marker pros
55920,Place needles pelvic for rt
57155,Insert uteri tandems/ovoids
57156,Ins vag brachytx device
58346,Insert heyman uteri capsule
61770,Incise skull for treatment
61796,SRS cranial lesion simple
61797,SRS cran les simple addl
61798,SRS cranial lesion complex
61799,SRS cran les complex addl
61800,Apply SRS headframe add-on
63620,SRS spinal lesion
63621,SRS spinal lesion addl
77261,Radiation therapy planning
77262,Radiation therapy planning
77263,Radiation therapy planning
77280,Set radiation therapy field
77285,Set radiation therapy field
77290,Set radiation therapy field
77295,Set radiation therapy field
77299,Radiation therapy planning
77300,Radiation therapy dose plan
77301,Radiotherapy dose plan imrt
77306,Telethx isodose plan simple
77307,Telethx isodose plan cplx
77316,Brachytx isodose plan simple
77317,Brachytx isodose intermed
77318,Brachytx isodose complex
77321,Special teletx port plan
77331,Special radiation dosimetry
77332,Radiation treatment aid(s)
77333,Radiation treatment aid(s)
77334,Radiation treatment aid(s)
77336,Radiation physics consult
77338,Design mlc device for imrt
77370,Radiation physics consult
77371,Srs multisource
77372,Srs linear based
77373,Sbrt delivery
77385,Ntsty modul rad tx dlvr smpl
77386,Ntsty modul rad tx dlvr cplx
77399,External radiation dosimetry
77401,Radiation treatment delivery
77402,Radiation treatment delivery
77407,Radiation treatment delivery
77412,Radiation treatment delivery
77417,Radiology port film(s)
77422,Neutron beam tx simple
77423,Neutron beam tx complex
77427,Radiation tx management x5
77431,Radiation therapy management
77432,Stereotactic radiation trmt
77435,Sbrt management
77470,Special radiation treatment
77499,Radiation therapy management
77520,Proton trmt simple w/o comp
77522,Proton trmt simple w/comp
77523,Proton trmt intermediate
77525,Proton treatment complex
77600,Hyperthermia treatment
77605,Hyperthermia treatment
77610,Hyperthermia treatment
77615,Hyperthermia treatment
77620,Hyperthermia treatment
77750,Infuse radioactive materials
77761,Apply intrcav radiat simple
77762,Apply intrcav radiat interm
77763,Apply intrcav radiat compl
77767,Hdr rdncl skn surf brachytx
77768,Hdr rdncl skn surf brachytx
77770,Hdr rdncl ntrstl/icav brchtx
77771,Hdr rdncl ntrstl/icav brchtx
77772,Hdr rdncl ntrstl/icav brchtx
77776,Apply interstit radiat simpl
77778,Apply interstit radiat compl
77785,HDR brachytx 1 channel
77786,HDR brachytx 2-12 channel
77789,Apply surface radiation
77790,Radiation handling
77799,Radium/radioisotope therapy
79005,Nuclear rx oral admin
79101,Nuclear rx iv admin
79200,Nuclear rx intracav admin
79300,Nuclr rx interstit colloid
79403,Hematopoietic nuclear tx
79440,Nuclear rx intra-articular
79445,Nuclear rx intra-arterial
79999,Nuclear medicine therapy
92974,Cath place cardio brachytx
A4650,Implant radiation dosimeter
A9517,"I131 iodide cap, rx"
A9527,Iodine I-125 sodium iodide
A9530,"I131 iodide sol, rx"
A9543,"Y90 ibritumomab, rx"
A9545,"I131 tositumomab, rx"
A9563,P32 Na phosphate
A9564,P32 chromic phosphate
A9600,Sr89 strontium
A9604,Sm 153 lexidronam
A9606,Radium Ra223 dichloride ther
A9699,Radiopharm rx agent noc
C1716,"Brachytx, non-str, Gold-198"
C1717,"Brachytx, non-str,HDR Ir-192"
C1719,"Brachytx, NS, Non-HDRIr-192"
C2616,"Brachytx, non-str,Yttrium-90"
C2634,"Brachytx, non-str, HA, I-125"
C2635,"Brachytx, non-str, HA, P-103"
C2636,"Brachy linear, non-str,P-103"
C2638,"Brachytx, stranded, I-125"
C2639,"Brachytx,non-stranded,I-125"
C2640,"Brachytx, stranded, P-103"
C2641,"Brachytx, non-stranded,P-103"
C2642,"Brachytx, stranded, C-131"
C2643,"Brachytx, non-stranded,C-131"
C2644,Brachytx cesium-131 chloride
C2645,"Brachytx planar, p-103"
C2698,"Brachytx, stranded, NOS"
C2699,"Brachytx, non-stranded, NOS"
C9734,"U/S trtmt, not leiomyomata"
G0173,Linear acc stereo radsur com
G0251,Linear acc based stero radio
G0339,"Robot lin-radsurg com, first"
G0340,Robt lin-radsurg fractx 2-5
G6001 ,Echo guidance radiotherapy
G6002 ,Stereoscopic x-ray guidance
G6003 ,Radiation treatment delivery
G6004,Radiation treatment delivery
G6005,Radiation treatment delivery
G6006 ,Radiation treatment delivery
G6007 ,Radiation treatment delivery
G6008,Radiation treatment delivery
G6009,Radiation treatment delivery
G6010,Radiation treatment delivery
G6011,Radiation treatment delivery
G6012,Radiation treatment delivery
G6013,Radiation treatment delivery
G6014,Radiation treatment delivery
G6015 ,Radiation tx delivery imrt
G6016 ,Delivery comp imrt
G6017 ,Intrafraction track motion
Q3001,Brachytherapy Radioelements
77052,Comp screen mammogram add-on
77057,Mammogram screening
80061,"Lipid panel [only when billed with one of the following ICD-9-CM codes:  V81.0, V81.1, or V81.2] "
82270,Occult blood feces
82465,"Assay bld/serum cholesterol [only when billed with one of the following ICD-9-CM codes:  V81.0, V81.1, or V81.2] "
82947,Assay glucose blood quant [only when billed with ICD-9-CM code V77.1]
82950,Glucose test [only when billed with ICD-9-CM code V77.1]
82951,Glucose tolerance test (GTT) [only when billed with ICD-9-CM code V77.1]
83718,"Assay of lipoprotein [only when billed with one of the following ICD-9-CM codes:  V81.0, V81.1, or V81.2] "
84478,"Assay of triglycerides [only when billed with one of the following ICD-9-CM codes:  V81.0, V81.1, or V81.2] "
G0103,PSA screening
G0106,Colon CA screen;barium enema
G0118,Glaucoma scrn hgh risk direc
G0120,Colon ca scrn; barium enema
G0123,Screen cerv/vag thin layer
G0124,Screen c/v thin layer by MD
G0141,"Scr c/v cyto,autosys and md"
G0143,"Scr c/v cyto,thinlayer,rescr"
G0144,"Scr c/v cyto,thinlayer,rescr"
G0145 ,"Scr c/v cyto,thinlayer,rescr"
G0147,"Scr c/v cyto, automated sys"
G0148,"Scr c/v cyto, autosys, rescr"
G0202,Screeningmammographydigital
G0328,Fecal blood scrn immunoassay
G0389,Ultrasound exam AAA screen
G0432,EIA HIV-1/HIV-2 screen
G0433,ELISA HIV-1/HIV-2 screen
G0435,Oral HIV-1/HIV-2 screen
G0464,"Colorec CA scr, sto bas DNA"
G0475 ,HIV combination assay
G0476,HPV combo assay CA  screen
P3000,Screen pap by tech w md supv
