"P2038","Blood mucoprotein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3000","Screen pap by tech w md supv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3001","Screening pap smear by phys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9612","Catheterize for urine spec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9615","Urine specimen collect mult ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q0111","Wet mounts/ w preparations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q0112","Potassium hydroxide preps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q0113","Pinworm examinations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q0114","Fern test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q0115","Post-coital mucous exam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0019T","Extracorp shock wv tx ms nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64550","Apply neurostimulator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90901","Biofeedback train any meth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90911","Biofeedback peri/uro/rectal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92507","Speech/hearing therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92508","Speech/hearing therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92520","Laryngeal function studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92521","Evaluation of speech fluency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92522","Evaluate speech production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92523","Speech sound lang comprehen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92524","Behavral qualit analys voice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92526","Oral function therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92597","Oral speech device eval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92607","Ex for speech device rx 1hr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92608","Ex for speech device rx addl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92609","Use of speech device service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92610","Evaluate swallowing function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92611","Motion fluoroscopy/swallow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92612","Endoscopy swallow tst (fees)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92614","Laryngoscopic sensory test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92616","Fees w/laryngeal sense test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93797","Cardiac rehab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93798","Cardiac rehab/monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95831","Limb muscle testing manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95832","Hand muscle testing manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95833","Body muscle testing manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95834","Body muscle testing manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95851","Range of motion measurements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95852","Range of motion measurements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95992","Canalith repositioning proc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96000","Motion analysis video/3d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96001","Motion test w/ft press meas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96002","Dynamic surface emg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96003","Dynamic fine wire emg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96105","Assessment of aphasia ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96111","Developmental testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96125","Cognitive test by HC pro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97001","Pt evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97002","Pt re-evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97003","Ot evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97004","Ot re-evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97010","Hot or cold packs therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97012","Mechanical traction therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97016","Vasopneumatic device therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97018","Paraffin bath therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97022","Whirlpool therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97024","Diathermy eg microwave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97026","Infrared therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97028","Ultraviolet therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97032","Electrical stimulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97033","Electric current therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97034","Contrast bath therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97035","Ultrasound therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97036","Hydrotherapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97039","Physical therapy treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97110","Therapeutic exercises","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97112","Neuromuscular reeducation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97113","Aquatic therapy/exercises","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97116","Gait training therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97124","Massage therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97139","Physical medicine procedure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97140","Manual therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97150","Group therapeutic procedures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97530","Therapeutic activities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97532","Cognitive skills development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97533","Sensory integration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97535","Self care mngment training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97537","Community/work reintegration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97542","Wheelchair mngment training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97545","Work hardening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97546","Work hardening add-on","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97597","RMVL devital tis 20cm/<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97598","RMVL devital tis addl 20 cm<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97602","Wound(s) care non-selective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97605","Neg press wound tx < 50 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97606","Neg press wound tx > 50 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97607","Neg press wnd tx </=50 sq cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97608","Neg press wound tx >50 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97610","Low frequency non-thermal US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97750","Physical performance test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97755","Assistive technology assess","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97760","Orthotic mgmt and training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97761","Prosthetic training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97762","C/O for orthotic/prosth use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97799","Physical medicine procedure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0281","Elec stim unattend for press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0283","Elec stim other than wound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0329","Electromagntic tx for ulcers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0451","Development test interp & rep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G0460","Autologous PRP for ulcers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0042T","Ct perfusion w/contrast cbf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0159T","Cad breast mri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0174T","Cad cxr with interp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0175T","Cad cxr remote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0330T","Tear film img uni/bi w/i&r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0331T","Heart symp image plnr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0332T","Heart symp image plnr spect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0346T+","Ultrasound elastography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51798","Us urine capacity measure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70100","X-ray exam of jaw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70110","X-ray exam of jaw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70120","X-ray exam of mastoids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70130","X-ray exam of mastoids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70134","X-ray exam of middle ear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70140","X-ray exam of facial bones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70150","X-ray exam of facial bones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70160","X-ray exam of nasal bones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70190","X-ray exam of eye sockets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70200","X-ray exam of eye sockets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70210","X-ray exam of sinuses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70220","X-ray exam of sinuses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70240","X-ray exam pituitary saddle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70250","X-ray exam of skull","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70260","X-ray exam of skull","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70300","X-ray exam of teeth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","X-ray exam of teeth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70320","Full mouth x-ray of teeth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70328","X-ray exam of jaw joint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70330","X-ray exam of jaw joints","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70336","Magnetic image jaw joint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70350","X-ray head for orthodontia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70355","Panoramic x-ray of jaws","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70360","X-ray exam of neck","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70370","Throat x-ray & fluoroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70371","Speech evaluation complex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70380","X-ray exam of salivary gland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70450","Ct head/brain w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70460","Ct head/brain w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70470","Ct head/brain w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70480","Ct orbit/ear/fossa w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70481","Ct orbit/ear/fossa w/dye ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70482","Ct orbit/ear/fossa w/o&w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70486","Ct maxillofacial w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70487","Ct maxillofacial w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70488","Ct maxillofacial w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70490","Ct soft tissue neck w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70491","Ct soft tissue neck w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70492","Ct sft tsue nck w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70496","Ct angiography head","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70498","Ct angiography neck","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70540","Mri orbit/face/neck w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70542","Mri orbit/face/neck w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70543","Mri orbt/fac/nck w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70544","Mr angiography head w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70545","Mr angiography head w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70546","Mr angiograph head w/o&w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70547","Mr angiography neck w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70548","Mr angiography neck w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70549","Mr angiograph neck w/o&w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70551","Mri brain w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70552","Mri brain w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70553","Mri brain w/o & w/dye ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70554","Fmri brain by tech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70555","Fmri brain by phys/psych","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71010","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71015","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71020","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71021","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71022","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71023","Chest x-ray and fluoroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71030","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71034","Chest x-ray and fluoroscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71035","Chest x-ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71100","X-ray exam of ribs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71101","X-ray exam of ribs/chest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71110","X-ray exam of ribs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71111","X-ray exam of ribs/chest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71120","X-ray exam of breastbone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71130","X-ray exam of breastbone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71250","Ct thorax w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71260","Ct thorax w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71270","Ct thorax w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71275","Ct angiography chest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71550","Mri chest w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71551","Mri chest w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71552","Mri chest w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71555","Mri angio chest w or w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72020","X-ray exam of spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72040","X-ray exam neck spine 3/<vws","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72050","X-ray exam of neck spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72052","X-ray exam of neck spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72070","X-ray exam of thoracic spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72072","X-ray exam of thoracic spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72074","X-ray exam of thoracic spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72080","X-ray exam of trunk spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72081","X-ray exam entire spi 1 vw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72082","X-ray exam entire spi 2/3 vw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72083","X-ray exam entire spi 4/5 vw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72084","X-ray exam entire spi 6/> vw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72100","X-ray exam of lower spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72110","X-ray exam of lower spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72114","X-ray exam of lower spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72120","X-ray exam of lower spine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72125","Ct neck spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72126","Ct neck spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72127","Ct neck spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72128","Ct chest spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72129","Ct chest spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72130","Ct chest spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72131","Ct lumbar spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72132","Ct lumbar spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72133","Ct lumbar spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72141","Mri neck spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72142","Mri neck spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72146","Mri chest spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72147","Mri chest spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72148","Mri lumbar spine w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72149","Mri lumbar spine w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72156","Mri neck spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72157","Mri chest spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72158","Mri lumbar spine w/o & w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72159","Mr angio spine w/o&w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72170","X-ray exam of pelvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72190","X-ray exam of pelvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72191","Ct angiograph pelv w/o&w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72192","Ct pelvis w/o dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72193","Ct pelvis w/dye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
